2019,2020,2021,2022,2023,2024,2025
37.94175,35.1098,35.18913,54.98015,149.71995,86.40112,56.22928
36.78722,34.4713,33.35153,51.02734,146.93733,76.89264,54.14501
36.79755,29.22504,30.06213,47.93056,178.02394,187.22184,56.221
35.2624,28.52982,29.21517,47.57495,173.34681,170.39364,53.78323
34.72256,27.93847,28.5095,46.24961,173.84447,168.52147,53.08093
35.06805,28.53883,28.62405,46.74928,175.05587,168.71898,52.30323
34.96629,30.51693,29.85741,48.01872,181.66026,169.4263,53.83983
37.96355,36.49599,35.26939,56.61553,205.971,185.71375,58.97147
38.25233,52.04273,45.09635,68.2,234.35189,188.71997,58.77842
36.66777,58.35917,48.06103,76.50411,226.67488,176.85683,55.78625
31.73132,46.37044,36.58306,60.2814,199.91284,107.14845,48.34258
29.5527,40.83731,29.4726,52.57193,188.30999,77.47637,28.36343
28.13176,39.23906,24.79001,49.26302,181.90322,70.32094,19.20746
25.72231,36.04879,23.58603,46.56612,174.38416,60.00024,12.15896
24.95603,33.17597,21.227,46.12573,170.33603,51.76043,10
28.10891,29.53655,21.17755,46.27034,168.46552,50.64445,8.50168
29.3665,33.136,22.67199,48.25186,173.37874,56.04149,10.65911
36.71383,40.81084,29.41991,54.22772,193.09823,110.23283,30.11712
41.04228,51.41025,41.81598,67.59856,227.13323,190.76954,55.16345
52.4941,68.10718,59.99958,80.80107,234.51082,195.14846,60.44396
54.43715,61.93132,52.47232,73.90546,226.85578,193.50714,60.02485
49.39166,57.36097,42.65641,67.98723,218.724,192.0291,61.2434
43.39876,51.05154,40.50392,62.79348,212.47416,192.08082,59.75529
39.57101,45.0547,39.7336,57.26756,197.58232,191.47562,59.40853
38.14519,36.22063,33.86386,52.76554,193.30008,183.38153,58.16056
36.07429,34.29927,32.1784,50.53056,187.84207,179.43948,55.58543
34.58675,29.69368,30.20515,46.89842,149.14523,171.34789,64.935
32.93394,27.80768,30.19155,46.41534,141.8732,170.03178,61.25268
31.7427,26.85504,28.95956,45.11,136.33675,163.63071,59.65897
31.65,27.44223,29,46.13114,131.90441,163.53453,59.73583
34.45687,29.71261,29,47.4356,135.66592,162.25412,60.57977
38.20697,34.40984,33.81668,53.8161,137.78907,167.83533,66.0616
47.01815,49.60465,43.97606,63.32317,140.76748,176.715,72.55439
43.71385,48.3676,44.57265,69.43586,143.8581,161.81307,69.30217
39.11173,39.17924,32.65138,52.67624,136.3163,104.61425,44.7874
38.52466,33.79329,27.64566,47.0213,129.87291,72.44505,26.70781
36.976,29.93305,24.43554,43.10237,130.11853,49.98036,18.08462
33.60525,27.30147,22.75827,39.29671,127.32591,47.18127,18.18989
33.01619,24.72136,21.06706,37.09809,125.47586,35.3817,12.57481
36.04756,23.07302,22.63017,37.10855,123.21938,33.09436,5.88136
36.60349,27.22791,25.74041,39.99669,123.8967,43.60602,8.49873
39.57895,32.66438,33.20895,48.16497,138.84836,97.20251,36.89545
49.74565,45.12807,44.3924,61.70359,163.03776,169.47974,64.19748
66.68818,67.65111,57.9671,74.04622,175.83333,193.53789,69.11907
61.67436,55.83868,48.78204,69.146,173.00219,192.54303,67.88487
58.72383,50.05076,44.80455,62.36166,164.78605,195.84368,67.64053
50.19872,46.87906,40.32256,58.62753,159.62814,195.66364,67.03794
41.00629,38.57142,37.2121,54.69765,144.33784,193.15083,66.50569
38.39871,33.87672,33.4619,52.48962,142.24567,191.88881,66.00245
36.4063,33.18853,31.09995,50.98433,134.08951,184.21648,64.05832
39.01622,30.05483,27.9799,46.11157,129.24091,201.89189,59.65602
38.16175,29.43426,28.2908,45.47275,127.86814,188.50927,56.52217
36.78874,29.37697,27.16728,44.14063,124.69606,187.80177,56.11686
37.33087,30.47713,27.84568,45.02576,124.02494,186.63247,56.01735
38.27406,33.53991,28.67779,46.90312,125.41337,188.25982,57.81382
40.59496,40.87285,32.0551,50.18036,127.73637,206.57026,62.07999
52.23578,57.79304,42.32138,58.20564,131.9281,222.00724,69.99268
58.87241,59.67528,41.58012,58.58677,132.41291,215.70099,67.53148
